"id","name","ability","flavor","firstNightReminder","otherNightReminder","remindersGlobal","reminders"
"balloonist","氣球駕駛員","每天晚上，你得知與昨晚不同角色類別的一位玩家。[+0 或 +1 城外人]","繼續加熱！再高！再高！啊...從上面看真是美麗，對吧？能看到河邊柳樹下捕魚的小孩嗎？你能看到馬戲團帳篷柱子上閃爍的太陽嗎？一個老人獨自在葡萄園...死了！？把火關小！下降！下降！","選擇一個角色類別，指向一個為該類別的玩家，以「已得知」標記該玩家。","選擇一個旁邊還沒放置「已得知」標記的角色類別，有選擇到的話，指向一個為該類別的玩家，以「已得知」標記該玩家。","","已得知(僕從),已得知(城外人),已得知(惡魔),已得知(旅行者),已得知(鎮民)"
"banshee","報喪女妖","如果惡魔殺死了你，所有玩家得知此事。從現在開始，你每天可以提名兩次，每次投票也可以投下兩票。","Gorm do shúile, dearg do ghruaig, ní bheidh sé i bhfad, is a mbeidh tú san uaigh.","","宣布報喪女妖已死亡(如果有的話)。","","具有能力"
"barber","理髮師","如果你死亡，惡魔今晚可以選擇兩位玩家(非另一位惡魔)交換角色。","你知道理髮和手術曾經是同一份職業嗎？沒聽說過？那現在你知道了。","","如果理髮師在今天死亡，喚醒惡魔並展示「這個能力選擇你」提示卡 + 理髮師角色代幣，惡魔可以指向兩位玩家，如果惡魔有選擇，交換他們的角色代幣，分別喚醒他們並展示「你是」提示卡 + 他們的新角色代幣。","","今晚剪頭髮"
"barista","咖啡師","每天晚上，直到隔天黃昏，隨機發生 1) 一位玩家變得清醒及健康，得到正確的資訊，或者 2) 該玩家的能力觸發兩次。受到影響的玩家得知是哪種效果。","要一杯不加奶油的咖啡嗎，先生？非常抱歉，我們奶油剛用完了—不如要不加牛奶的咖啡吧？","選擇一位玩家，喚醒該玩家並告知他們哪一種咖啡師的效果作用於他們身上(清醒&健康/能力x2)。以對應的標記標記該玩家。","選擇一位玩家，喚醒該玩家並告知他們哪一種咖啡師的效果作用於他們身上(清醒&健康/能力x2)。以對應的標記標記該玩家。","","清醒&健康,能力x2"
"baron","男爵","遊戲中會出現額外的城外人。[+2 城外人]","This town has gone to the dogs, what? Cheap foreign labor... that's the ticket. Stuff them in the mine, I say. A bit of hard work never hurt anyone, and a clip'o'the ears to any brigand who says otherwise. It's all about the bottom line, what?","","","",""
"beggar","乞丐","你需要使用投票代幣投票，死去的玩家可以將自己的代幣給你，若如此，你得知該玩家的陣營。","Alms for the poor, good Sir? Spare a coin, Madam? Thank you. God bless! You're a right kind soul and no mistake! I'll have some swanky nosh tonight, I will!","","","",""
"bigwig","Big Wig","Each nominee chooses a player: until voting, only they may speak & they are mad the nominee is good or they might die.","Vanity asks ‘Is it popular?’ Cowardice asks ‘Is it safe?’ Conscience asks ‘Is it right?’ Who among us will ask: ‘Is it true?’","","","",""
"bishop","主教","只有說書人可以提名，每天必須至少提名一位與你不同陣營的玩家。","In nomine Patris, et Filii, et Spiritus Sancti… Nos mos Dei. Deus vult de nobis.","","","","提名善良,提名邪惡"
"boffin","科學怪人","惡魔擁有一個不在遊戲中的善良能力(儘管他醉酒或中毒)，你們都知道是哪種能力。","Stellar hydrogen, vast, inert; carbon, oxygen, neon gases, all ruined. Molecular chaos, entropy, yields new cosmic phenomena, rebirth from atomic chaos, dense matter collapsing. All in a teeny little bottle.","喚醒科學怪人與惡魔並展示「這個能力選擇你」提示卡 + 科學怪人的角色代幣 + 該善良能力的角色代幣。","","",""
"bonecollector","集骨者","每場遊戲一次，晚上時，選擇一位死亡的玩家，該玩家恢復自己的能力直到隔天黃昏。","I collect many things. Hair. Teeth. Clothes. Fragments of poems. The dreams of lost lovers. My secret arts are not for you to know but my fee is a mere pittance. Bring me the blood of a noblewoman who died of heartbreak under a full moon, and you shall have your answers.","","集骨者可以指向任意死亡的玩家，如果他有選擇，以「具有能力」標記該玩家。(該玩家今晚可能需要被喚醒以使用能力)","","具有能力,無能力"
"boomdandy","炸彈人","如果你被處決，除了三位玩家之外的所有玩家死亡。在說書人數到十後，被最多位玩家的手指向的玩家死亡。","滴…滴…滴…答。","","","",""
"bootlegger","私貨商人","這個劇本中有自定義角色或使用自定義規則。","我從家裡收到了最新一批貨物，這種釀法的成果我叫它“墳丘霧”。想試試嗎？","宣布私貨商人在遊戲中以及這場遊戲中使用的所有自定義角色和/或自定義規則。","","",""
"bountyhunter","賞金獵人","在你的第一晚，你得知一位邪惡的玩家。如果該玩家死亡，你今晚再得知另一位邪惡的玩家。[一位鎮民是邪惡的]","Alone, I walk these streets, paved with the sick stench of corruption. Its thickness worms its way into my nostrils, unbidden, burning with revulsion. And anticipation. The illness of this wretched place grows each night. And I... I am the cure.","指向一位邪惡的玩家並以「已得知」標記該玩家，喚醒被標記為邪惡的鎮民並展示「你是」提示卡 + 倒讚表示邪惡。","如果已得知的邪惡玩家已死亡，指向另一位邪惡的玩家並以「已得知」標記該玩家。","","已得知"
"buddhist","佛教徒","每天白天開始的前兩分鐘，老手玩家不能交談。","你們扔出的荊棘，在我的沉默之下，成為了花朵。","","","",""
"bureaucrat","官員","每天晚上，選擇一位其他玩家，明天該玩家投的票計為三票。","Sign here please. And here. And here. Aaaaaaaaand here. This should all be sorted and tallied by the end of the day, assuming everyone's signatures are legible. We haven't had a mix-up in the paperwork for ages. Yesterday noon, if memory serves...","官員指向一位玩家，以「票數x3」標記該玩家。","官員指向一位玩家，以「票數x3」標記該玩家。","","票數x3"
"butcher","屠夫","每天白天，第一次處刑過後，你可以再提名一位玩家。","這吃起來像雞肉。請再給我一些。","","","",""
"butler","管家","每天晚上，選擇一位玩家，明天，你只能在該玩家有投票時投票。","Yes, sir...
No, sir...
Certainly, sir.","管家指向一位玩家，以「主人」標記該玩家。","管家指向一位玩家，以「主人」標記該玩家。","","主人"
"cacklejack","笑匠","每天白天，選擇一位玩家，今晚一位不同的玩家變成其他角色。","Wire α To wire β. LigHt oN. BuZZer off. GAzOinks! Arms STra1ght. FingER 2 nose. hOooLd stiLL. BoiNgo-banGo! Ha-ha-ha!""","","喚醒一位沒有被標記「不是我」的玩家並展示「你是」提示卡 + 他的新角色代幣。","","不是我"
"cannibal","食人族","你具有最後被處死的玩家的能力。如果該玩家是邪惡的，你中毒直到一個善良玩家被處死。","I don’t like clowns. They taste funny.","","","","中毒,最後被處死"
"cerenovus","洗腦師","每天晚上，選擇一位玩家及一個善良角色，明天該玩家扮演這個角色，如果他沒有執著地使其他玩家相信自己是該角色，他可能會被處決。","現實，也不過是一種意見而已。準確來說，是我的意見。","洗腦師指向一位玩家 + 角色表上的一個角色，以「瘋狂」標記該玩家，喚醒該玩家並展示「這個能力選擇你」提示卡 + 洗腦師的角色代幣 + 洗腦師選擇的角色代幣。","洗腦師指向一位玩家 + 角色表上的一個角色，以「瘋狂」標記該玩家，喚醒該玩家並展示「這個能力選擇你」提示卡 + 洗腦師的角色代幣 + 洗腦師選擇的角色代幣。","","瘋狂"
"chambermaid","侍女","每天晚上，選擇兩位活著的其他玩家，你得知其中有幾位因自己的能力而醒來(0/1/2)。","I aint seen nothin' untoward, Milady. Begging your pardon, but if I did see somethin', it certainly weren't the master o' the house sneaking into the professor's laboratory 'round eleven o'clock and mixing up fancy potions, just like you said, Miss.","侍女指向兩位玩家，展示他們之中因自己的能力而醒來的玩家數量。","侍女指向兩位玩家，展示他們之中因自己的能力而醒來的玩家數量。","",""
"chef","廚師","在你的第一晚，你得知總共有幾對邪惡的玩家坐在一起。","今晚的訂位真不尋常。梅威瑟夫人以前根本不會和哈德遜巷的那個流氓為伍，今晚他們卻訂了一張兩人桌。奇怪。","展示比鄰而坐的邪惡玩家們的對數。","","",""
"choirboy","唱詩男孩","如果惡魔殺死了國王，你得知惡魔是哪一位玩家。[+ 國王]","我看到了。那時候我在長凳那裡整理聖詩集，突然管風琴奏起了可怕的曲調。彈管風琴的那人穿著長斗篷，長長的手指在琴鍵上彈奏著。那人還帶戴著一頂帽子，看起來…就像…你的那頂。","","如果國王被惡魔殺死，喚醒唱詩男孩並指向惡魔玩家。","",""
"clockmaker","鐘錶匠","在你的第一晚，你得知惡魔到最近的僕從的距離(相鄰時為1)。","不要打擾我。滴答聲必須繼續下去，因為圓圈是生命的象徵，而一切事物——所有答案——都被它那神聖的機械所包藏。我必須工作。","展示惡魔到最近的僕從的距離數(相鄰時為1)。","","",""
"courtier","侍臣","每場遊戲一次，晚上時，選擇一位角色，該角色的玩家醉酒持續三天三夜。","I am more afraid of an army of one hundred sheep led by a lion than an army of one hundred lions led by a sheep.","侍臣可以選擇角色表上的一個角色，如果朝臣使用了能力且該角色在遊戲中，以 「醉酒N」標記該角色的玩家。","減少被標記玩家的醉酒天數。或者侍臣可以選擇角色表上的一個角色，如果他使用了能力且該角色在遊戲中，以 「醉酒N」標記該角色的玩家。","","無能力,醉酒 1,醉酒 2,醉酒 3"
"cultleader","異教領袖","每天晚上，你轉變為其中一位活著的鄰居所在的陣營。每天白天一次，你可以提議其他玩家加入你的教團，如果所有善良玩家都如此做，則你的陣營獲勝。","自以為聰明的人，結果卻成了愚人。","如果異教領袖改變了陣營，喚醒他並告知他目前所在的陣營。","如果異教領袖改變了陣營，喚醒他並告知他目前所在的陣營。","",""
"damsel","落難少女","所有僕從都知道你在遊戲中。每場遊戲一次，僕從可以猜測你是落難少女，如果猜對，則你的陣營落敗。","別摸頭髮，親愛的。","喚醒所有僕從並展示「這個能力選擇你」提示卡 + 落難少女的角色代幣。","如果落難少女已被獵人選中，喚醒他並展示「你是」提示卡 + 一個不在遊戲中的鎮民角色代幣。","","已猜測"
"deusexfiasco","失敗的上帝","每場遊戲至少一次，說書人會犯一個錯誤，向玩家們承認並修正它。","","","","","哇喔"
"deviant","怪咖","只要你今天很有趣，你就不會被放逐。","Twas the lady's quip, forsooth.","","","",""
"devilsadvocate","魔鬼代言人","每天晚上，選擇一位活著的玩家(不同於昨晚)，如果該玩家明天被處決，他不會死。","My client, should the objection be overruled, pleads innocent by virtue of the prosecution's non-observance of statute 27.B - incorrect or misleading conjugation of a verb. The fact that nine of the jury died last night is simply prima facie, which is, as Wills vs Thule set precedent for, further reason to acquit.","魔鬼代言人指向一位活著的玩家，以「處決保護」標記該玩家。","魔鬼代言人指向一位活著的玩家，以「處決保護」標記該玩家。","","處決保護"
"djinn","燈神","使用燈神的特殊規則。所有玩家都得知這個規則。","نحن لسنا هنا.
                                انت لست حقيقي.
                                كل شيء هو وهم.
                                أسئلتك هي جبل نار في يوم صافٍ.","","","",""
"doomsayer","末日預言者","如果有四個或更多玩家活著，白天時，每位活著的玩家可以公開使一位與自己同陣營的玩家死亡(每位玩家限一次)。","And on the Seventh Day, there shall be a great flood and a pestilence upon the People of the Village of the Ravens! The dead shall rise and the living shall repent! O Woe! O Unholy day! Only by great sacrifice shall they prevail! So sayeth the Sages of Nostros and so sayeth I.","","","",""
"dreamer","築夢師","每天晚上，選擇其他一位玩家(非旅行者)，你得知該玩家是一個善良角色或一個邪惡角色，其中一個正確。","我記得鐘匠。天空是紅色的，分形三角形如下雨般落下。我嗅到了紫羅蘭的氣味，聽到了冒泡的聲音。一個眼睛發光、鬍鬚蓬亂的女人對著天空發出嘶嘶聲。然後，我醒了。","築夢師指向一位玩家，將一個善良的角色代幣和一個邪惡的角色代幣展示給他，其中一個是正確的。","築夢師指向一位玩家，將一個善良的角色代幣和一個邪惡的角色代幣展示給他，其中一個是正確的。","",""
"drunk","酒鬼","你不知道自己是酒鬼，你認為自己是某一位鎮民，但你不是。","I’m only a *hic* social drinker, my dear. Admittedly, I am a heavy *burp* socializer.","","","醉酒",""
"duchess","公爵夫人","每天白天，至多三位玩家可以拜訪說書人。當晚*，他們得知有多少拜訪者是邪惡的，但其中一位得到不正確的訊息。","We shall entertain between the hours of 6 and 7 precisely. Tea at 6:15. Scones at 6:45. Do not be late. Formal wear applies, as always.","","","","不正確,訪客"
"empath","共情者","每天晚上，你得知你活著的鄰居中有幾位是邪惡的(0/1/2)。","My skin prickles. Something is not right here. I can feel it.","展示共情者的邪惡鄰居數量。","展示共情者的邪惡鄰居數量。","",""
"engineer","工程師","每場遊戲一次，晚上時，選擇哪些僕從或惡魔出現在遊戲中。","If it bends, great. If it breaks, well, it probably needed fixing anyway.","工程師可以指向角色表上的一個惡魔或數個僕從，如果他有選擇，根據選擇置換角色代幣，喚醒相關玩家並展示「你是」提示卡 + 他們的新角色代幣。","工程師可以指向角色表上的一個惡魔或數個僕從，如果他有選擇，根據選擇置換角色代幣，喚醒相關玩家並展示「你是」提示卡 + 他們的新角色代幣。","","無能力"
"eviltwin","鏡像雙子","你與一位對手認識彼此。如果你們當中的善良玩家被處決，邪惡陣營獲勝。只要你們兩個人都活著，善良陣營不能獲勝。","我不是莎拉！我是克拉！她才是莎拉！莎拉是壞的那個！不是我！","喚醒鏡像雙子和他的雙胞胎，確認他們看到對方是誰，指向鏡像雙子，將他的角色代幣展示給雙胞胎玩家；指向雙胞胎玩家，將他的角色代幣展示給鏡像雙子。","","","雙胞胎"
"exorcist","驅魔人","每天晚上*，選擇一位玩家(不同於昨晚)，如果你選中了惡魔，則他得知你是誰並且今晚不會因自身能力被喚醒。","We cast you out, every unclean spirit, every satanic power, every onslaught of the infernal adversary, every legion, every diabolical group and sect, in the name and by the power of Our Lord Jesus Christ. We command you, begone and fly far from the Church of God, from the souls made by God in His image and redeemed by the precious blood of the divine Lamb.","","驅魔人選擇一位不同於昨晚的玩家，如果該玩家是惡魔，喚醒惡魔並展示「這個能力選擇你」提示卡 + 驅魔人的角色代幣並指向驅魔人，惡魔今晚不會因自身能力被喚醒。","","已選擇"
"fanggu","方古","每天晚上*，選擇一位玩家，該玩家死亡。被選擇的城外人變成邪惡的方古，並改為你死亡(每場遊戲只能觸發一次)。[+1 城外人]","汝之牆壁與武器，皆為幻夢之雲煙。","","方古指向一位玩家，該玩家死亡，或者如果該玩家是城外人且沒有「第一位城外人」標記，則改為方古死亡，被選擇的玩家變成邪惡的方古，喚醒新的方古並展示「你是」提示卡 + 方古角色代幣，再展示「你是」提示卡 + 倒讚表示邪惡。放置「第一位城外人」標記。","","死亡,第一位城外人"
"farmer","農夫","如果你在晚上死亡，一個活著的善良玩家變成農夫。","再有權勢的人桌上也必須有食物，沒有我們，城市就會挨餓。","","如果農夫在晚上死亡，選擇另一個善良玩家，該玩家變成農夫，喚醒該玩家並展示「你是」提示卡 + 農夫的角色代幣。","",""
"fearmonger","恐懼之靈","每天晚上，選擇一位玩家。如果你提名並且處死了他，他的陣營落敗。所有玩家都知道你是否有選擇新玩家。","Beware of gazing long into the Abyss, lest the Abyss also gaze into you.","恐懼之靈指向一位玩家，以「恐懼」標記該玩家並宣布恐懼之靈選擇了一位新玩家。","恐懼之靈指向一位玩家，如果該玩家與前一晚的選擇不同，以「恐懼」標記該玩家並宣布恐懼之靈選擇了一位新玩家。","","恐懼"
"ferryman","擺渡人","在遊戲最後一天，所有死亡的玩家得到自己的投票代幣。","When righteous dreams come, they have the weight of truth.","","","",""
"fibbin","騙人精","每場遊戲一次，一位善良玩家可能會得到不正確的資訊。","Tee-hee-hee.
Tee. Hee. Hee.","","","","已發生"
"fiddler","小提琴手","每場遊戲一次，惡魔私下選擇一位對手，所有玩家選擇這兩位中哪一位獲勝。","I'll wager mi lyef ye cannae best me in a fiddle contest, ye boss-eyed snook! We'll go out on the lash, get the pub jammers an' have a right craic. I'll be layin' ma boots into ya come mornin' ye rumbly muppet.","","","",""
"fisherman","漁夫","每場遊戲一次，白天時，拜訪說書人獲取一些幫助你獲勝的建議。","This was my favourite part of the river... see how the sunlight makes a rainbow from the monastery to the market? This was the best place for big fish. And the older I get, the bigger they were.","","","","無能力"
"flowergirl","賣花女孩","每天晚上*，你得知惡魔今天是否有投票。","昨天的紫羅蘭凋謝了，但今天我的罌粟開花了。","","以點頭或搖頭來告知惡魔今天是否有投票，以「惡魔未投票」標記賣花女孩。","","惡魔投票,惡魔未投票"
"fool","弄臣","你第一次死亡時不會死。","……國王說“什麼？我從來沒有擁有過一條橡膠褲，更不用說一個蛋奶大砲了！”嗬嗬！真是個好日子！","","","","無能力"
"fortuneteller","占卜師","每天晚上，選擇兩位玩家，你得知他們其中是否有惡魔。場上有一位善良玩家的身分會被你視為惡魔。","我感覺到你的靈魂裡有強大的邪惡！但是...也可能只是你的香水。我對接骨木漿果過敏。","占卜師選擇兩位玩家，以點頭或搖頭來告知他們之中是否有惡魔。","占卜師選擇兩位玩家，以點頭或搖頭來告知他們之中是否有惡魔。","","視為惡魔"
"gambler","賭徒","每天晚上*，選擇一位玩家並猜測他的角色，如果你猜錯則你會死亡。","擲到公，算我嬴，擲到字，算你輸。","","賭徒指向一位玩家 + 角色表上的一個角色，如果它們不符合，賭徒死亡。","","死亡"
"gangster","黑幫","每天白天一次，如果你活著的鄰居同意，你可以殺死另一位活著的鄰居。","I like your shoes. It would be such a shame if you had a little accident, and they got ruined. Now that you mention it, I like your cufflinks too. ","","","",""
"gardener","園丁","一個或更多的角色由說書人分配給玩家。","Oh now, this won't do. We've got the monkshood mixed in with the wolfsbane and the hemlock is smothering the hellebore! Oh dear me, we'd better start over. Fetch my shears.","","","",""
"general","將軍","每天晚上，你得知說書人認為較佔優勢的陣營，善良，邪惡，或著都不是。","我沒有時間留下名言。","以比讚表示善良正在獲勝；倒讚表示邪惡正在獲勝，或向旁邊比讚表示兩者皆不。","以比讚表示善良正在獲勝；倒讚表示邪惡正在獲勝，或向旁邊比讚表示兩者皆不。","",""
"gnome","侏儒","每個玩家都得知一位與你同陣營的玩家，當該玩家被提名時，你可以將提名者殺死。","Four the score or seven beers, no shows are goes for me and my. A prank to crack the cranks and planks o' the floor foundation length, so incontravertabubbilly mini. The large essays down streams of joyce, no greater than is scene, not inherdt, Ha-urrumph.o.","","","","摯友"
"goblin","哥布林","如果你被提名時公開聲明自己是哥布林並且在同一天被處決，你的陣營獲勝。","你不會想激怒哥布林的，永遠不會！另一件事...我能再要一塊蛋糕嗎？","","","","已聲明"
"godfather","教父","在你的第一晚，你得知哪些城外人在遊戲中。如果今天白天有城外人死亡，在當晚選擇一位玩家，該玩家死亡。[−1 或 +1 城外人]","通常，這只是做生意。但你侮辱我女兒的話，就是在侮辱我，而你侮辱我，就是侮辱我的幫派。我勸你小心一點——你有甚麼三長兩短的話就可惜了。","展示「這些角色在遊戲中」提示卡 + 每個在遊戲中的城外人角色代幣。","如果今天有城外人死亡，教父指向一位玩家，該玩家死亡。","","城外人死亡,死亡"
"godofug","God of Ug","One Ug hat. When wear Ug hat, must speak one sound at a time but vote twice. If fail, pass Ug hat.","Blessed are my children, for they see the beauty in simple things.","","","","Hat"
"golem","魔像","你每場遊戲只能提名一次。當你如此做時，如果被提名者不是惡魔，則該玩家死亡。","魔像支援？魔像粉碎！魔像支援。","","","","不能提名"
"goon","莽夫","每天晚上，第一個使用能力選擇你的玩家會醉到明天黃昏，你變成該玩家的陣營。","Yes boss. I explained fings real good to dat geezer. He don't want me explain it again. Nah boss, I don't need no doctor - it's only a knife wound. Be right come mornin'","","","","醉酒"
"gossip","造謠者","每天白天，你可以發表一次公開聲明，當晚，如果該聲明正確，則會有一位玩家死亡。","Blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah. Blah.","","如果造謠者的公開聲明正確，選擇一位今晚沒有被保護的玩家，該玩家死亡。","","死亡"
"grandmother","祖母","在你的第一晚，你得知一位善良玩家以及他的角色，如果該玩家被惡魔殺死，則你也會死。","如果你要出門，記得穿上外套，親愛的，還有你的保溫杯，還有圍巾。你知道我的心臟不好，如果你感冒...或更嚴重...我該怎麼辦？","以「孫子」標記一位善良玩家，展示該玩家的角色代幣並指向該玩家。","如果祖母的孫子被惡魔殺死，祖母死亡。","","孫子"
"gunslinger","槍手","每天的第一次提名中，第一票投下後，你可以選擇其中一位投票的玩家，該玩家死亡。","是時候有人出來親手解決問題了。而那個人…就是我。","","","",""
"harlot","流鶯","每天晚上*，選擇一位活著的玩家，如果該玩家同意，你得知他的角色，但是你們兩個有可能會死亡。","Enchanté, Sailor. You look like you need someone to really listen to your troubles. I'm a good listener. Very, very good.","","流鶯指向一位玩家，喚醒該玩家並展示「這個能力選擇你」提示卡 + 流鶯的角色代幣，讓他以點頭或搖頭來表達意願，如果該玩家點頭，喚醒流鶯並展示該玩家的角色代幣，然後，你可以讓兩位玩家都死亡。","","死亡"
"harpy","鷹身女妖","每天晚上，選擇兩位玩家，明天第一位玩家需要執著地使其他玩家相信另一位是邪惡的，否則他們之中可能會有人死亡。","So fair a day I never did see, nor so fowl a presence hanging over me.","鷹身女妖輪流指向兩位玩家，喚醒第一位玩家並展示「這個能力選擇你」提示卡 + 鷹身女妖的角色代幣，然後指向第二位玩家。","鷹身女妖輪流指向兩位玩家，喚醒第一位玩家並展示「這個能力選擇你」提示卡 + 鷹身女妖的角色代幣，然後指向第二位玩家。","","瘋狂, 目標"
"hatter","帽匠","如果你死亡，惡魔和僕從們都可以在當晚選擇自己的新角色(相同類型)。","One Hat. Too Hat. Three Hat. Tea Hat. Fore Hat. Thrive Hat. Six Hat. Sticks Hat.","","如果帽匠在今天死亡，喚醒惡魔和僕從們並展示「這個能力選擇你」提示卡 + 帽匠角色代幣，他們可以選擇一個自己類型的角色，如果有多位玩家的角色相同，則示意他們重新選擇，將他們的角色代幣替換成他們選擇的角色。","","今晚開茶會"
"hellslibrarian","地獄藏書員","在說書人要求安靜時說話的玩家可能會受到懲罰。","噓—請保持安靜，最好不要打擾管理員，聽說他脾氣暴躁。","","","","懲罰"
"heretic","異端份子","交換勝負結果(儘管你死亡)。","After the hail has smashed the roof and splintered the glass of the Cathedral windows, it melts again into the earth, like a dying lamb in the desert sun. Such is the parable of the madman.","","","",""
"hermit","隱士","你擁有所有城外人的能力。[-0 或 -1 城外人]","In the lost and forgotten places of the earth, the soul’s light beckons.","","","","1, 2, 3"
"highpriestess","女祭司","每天晚上，你得知說書人認為你最應該與之交談的一位玩家。","There is life behind the personality that uses personalities as masks. There are times when life puts off the mask and deep answers to deep.","指向一位玩家。","指向一位玩家。","",""
"hindu","Hindu","The first 4 players to die are immediately reincarnated as Travellers of the same alignment.","चत्वारो मृत्युमध्ये पतन्ति, चत्वारो यात्री पुनरुद्गताः। चत्वारो धर्मे स्थितचित्तवृत्तेः, चत्वार एषां न पुनः क्षयः॥","","","",""
"huntsman","巡山人","每場遊戲一次，晚上時，選擇一位活著的玩家，如果你選中了少女，他變成一位不在遊戲中的鎮民角色。[+ 少女]","My cabin is warm and sturdy. My axe by the door, my boots drying by the fire, and elk stew a-simmering… Hark! A scream echoes through the valley! The rain and the mud and the cold, cold wind mask the scent of the wolves, but I know the path and my pace is steady. I am coming.","巡山人可以選擇一位玩家，如果他選中了少女，喚醒該玩家並展示「你是」提示卡 + 一個不在遊戲中的鎮民角色代幣。","巡山人可以選擇一位玩家，如果他選中了少女，喚醒該玩家並展示「你是」提示卡 + 一個不在遊戲中的鎮民角色代幣。","","無能力"
"imp","小惡魔","每天晚上*，選擇一位玩家，該玩家死亡。如果你以此法殺死自己，一位僕從變成小惡魔。","We must keep our wits sharp and our sword sharper. Evil walks among us, and will stop at nothing to destroy us good, simple folk, bringing our fine town to ruin. Trust no-one. But, if you must trust someone, trust me.","","小惡魔指向一位玩家，該玩家死亡，如果他選擇自己，將一個活著的僕從角色代幣換成小惡魔的角色代幣，喚醒該玩家並展示「你是」提示卡 + 小惡魔的角色代幣。","","死亡"
"innkeeper","旅店老闆","每天晚上*，選擇兩位玩家，他們今晚不會死，但其中一位醉到明天黃昏。","Come inside, fair traveller, and rest your weary bones. Drink and be merry, for the legions of the Dark One shall not harass thee tonight.","","移除先前被保護或醉酒玩家的標記，旅店老闆指向兩位玩家，以「保護」標記他們，其中一位醉酒。","","保護,醉酒"
"investigator","調查員","在你的第一晚，你得知在某兩位玩家中有一位特定的僕從角色。","今天夜晚真適合散步啊，你認同吧，莫羅佐夫先生？還是該說…莫羅佐夫男爵？","將一個在遊戲中的僕從角色代幣展示給調查員並指向兩位玩家，他們其中一位是該角色。","","","僕從,非僕從"
"judge","法官","每場遊戲一次，如果另一位玩家提名，你可以強制使處決成功或失敗。","I find the defendant guilty of the crimes of murder, fraud, arson, larceny, impersonating an officer of the law, practicing medicine without a license, slander, regicide, and littering.","","","","無能力"
"juggler","雜耍藝人","在你的第一天，公開猜測至多五次某位玩家的角色，當晚你得知你猜對了多少。","For my next trick, as per request, I will need a flower, a bag of beans, a toy snake, a paintbrush, and a motorized gasoline-powered hedge trimming device. I warn you, this trick may be my last. Oh dear.","","如果今天是雜耍藝人的第一天，展示「正確」標記的總數(0/1/2/依此類推)，移除所有標記。","","正確"
