id,name,ability,firstNightReminder,otherNightReminder,reminders,remindersGlobal
barber,理髮師,如果你死亡，惡魔今晚可以選擇兩位玩家(非另一位惡魔)交換角色。,,如果理髮師在今天死亡，喚醒惡魔並展示「這個能力選擇你」提示卡 + 理髮師角色代幣，惡魔可以指向兩位玩家，如果惡魔有選擇，交換他們的角色代幣，分別喚醒他們並展示「你是」提示卡 + 他們的新角色代幣。,今晚剪頭髮,
barista,咖啡師,每天晚上，直到隔天黃昏，隨機發生 1) 一位玩家變得清醒及健康，得到正確的資訊，或者 2) 該玩家的能力觸發兩次。受到影響的玩家得知是哪種效果。,選擇一位玩家，喚醒該玩家並告知他們哪一種咖啡師的效果作用於他們身上(清醒&健康/能力x2)。以對應的標記標記該玩家。,選擇一位玩家，喚醒該玩家並告知他們哪一種咖啡師的效果作用於他們身上(清醒&健康/能力x2)。以對應的標記標記該玩家。,清醒&健康|能力x2,
baron,男爵,遊戲中會出現額外的城外人。[+2 城外人],,,,
beggar,乞丐,你需要使用投票代幣投票，死去的玩家可以將自己的代幣給你，若如此，你得知該玩家的陣營。,,,,
bigwig,首席律師,每個被提名者要選擇一名玩家：在投票前，只有他可以發言，並且他要“瘋狂”地證明被提名者是善良的，否則他可能死亡。,,,,
bishop,主教,只有說書人可以提名，每天必須至少提名一位與你不同陣營的玩家。,,,提名善良|提名邪惡,
boffin,科學怪人,惡魔擁有一個不在遊戲中的善良能力(儘管他醉酒或中毒)，你們都知道是哪種能力。,喚醒科學怪人與惡魔並展示「這個能力選擇你」提示卡 + 科學怪人的角色代幣 + 該善良能力的角色代幣。,,,
bonecollector,集骨者,每場遊戲一次，晚上時，選擇一位死亡的玩家，該玩家恢復自己的能力直到隔天黃昏。,,集骨者可以指向任意死亡的玩家，如果他有選擇，以「具有能力」標記該玩家。(該玩家今晚可能需要被喚醒以使用能力),具有能力|無能力,
boomdandy,炸彈人,如果你被處決，除了三位玩家之外的所有玩家死亡。在說書人數到十後，被最多位玩家的手指向的玩家死亡。,,,,
bootlegger,私貨商人,這個劇本中有自定義角色或使用自定義規則。,宣布私貨商人在遊戲中以及這場遊戲中使用的所有自定義角色和/或自定義規則。,,,
bountyhunter,賞金獵人,在你的第一晚，你得知一位邪惡的玩家。如果該玩家死亡，你今晚再得知另一位邪惡的玩家。[一位鎮民是邪惡的],指向一位邪惡的玩家並以「已得知」標記該玩家，喚醒被標記為邪惡的鎮民並展示「你是」提示卡 + 倒讚表示邪惡。,如果已得知的邪惡玩家已死亡，指向另一位邪惡的玩家並以「已得知」標記該玩家。,已得知,
buddhist,佛教徒,每天白天開始的前兩分鐘，老手玩家不能交談。,,,,
bureaucrat,官員,每天晚上，選擇一位其他玩家，明天該玩家投的票計為三票。,官員指向一位玩家，以「票數x3」標記該玩家。,官員指向一位玩家，以「票數x3」標記該玩家。,票數x3,
butcher,屠夫,每天白天，第一次處刑過後，你可以再提名一位玩家。,,,,
butler,管家,每天晚上，選擇一位玩家，明天，你只能在該玩家有投票時投票。,管家指向一位玩家，以「主人」標記該玩家。,管家指向一位玩家，以「主人」標記該玩家。,主人,
cacklejack,笑匠,每天白天，選擇一位玩家，今晚一位不同的玩家變成其他角色。,,喚醒一位沒有被標記「不是我」的玩家並展示「你是」提示卡 + 他的新角色代幣。,不是我,
cannibal,食人族,你具有最後被處死的玩家的能力。如果該玩家是邪惡的，你中毒直到一個善良玩家被處死。,,,中毒|最後被處死,
cerenovus,洗腦師,每天晚上，選擇一位玩家及一個善良角色，明天該玩家扮演這個角色，如果他沒有執著地使其他玩家相信自己是該角色，他可能會被處決。,洗腦師指向一位玩家 + 角色表上的一個角色，以「瘋狂」標記該玩家，喚醒該玩家並展示「這個能力選擇你」提示卡 + 洗腦師的角色代幣 + 洗腦師選擇的角色代幣。,洗腦師指向一位玩家 + 角色表上的一個角色，以「瘋狂」標記該玩家，喚醒該玩家並展示「這個能力選擇你」提示卡 + 洗腦師的角色代幣 + 洗腦師選擇的角色代幣。,瘋狂,
chambermaid,侍女,每天晚上，選擇兩位活著的其他玩家，你得知其中有幾位因自己的能力而醒來(0/1/2)。,侍女指向兩位玩家，展示他們之中因自己的能力而醒來的玩家數量。,侍女指向兩位玩家，展示他們之中因自己的能力而醒來的玩家數量。,,
chef,廚師,在你的第一晚，你得知總共有幾對邪惡的玩家坐在一起。,展示比鄰而坐的邪惡玩家們的對數。,,,
choirboy,唱詩男孩,如果惡魔殺死了國王，你得知惡魔是哪一位玩家。[+ 國王],,如果國王被惡魔殺死，喚醒唱詩男孩並指向惡魔玩家。,,
clockmaker,鐘錶匠,在你的第一晚，你得知惡魔到最近的僕從的距離(相鄰時為1)。,展示惡魔到最近的僕從的距離數(相鄰時為1)。,,,
courtier,侍臣,每場遊戲一次，晚上時，選擇一位角色，該角色的玩家醉酒持續三天三夜。,侍臣可以選擇角色表上的一個角色，如果朝臣使用了能力且該角色在遊戲中，以 「醉酒N」標記該角色的玩家。,減少被標記玩家的醉酒天數。或者侍臣可以選擇角色表上的一個角色，如果他使用了能力且該角色在遊戲中，以 「醉酒N」標記該角色的玩家。,無能力|醉酒 1|醉酒 2|醉酒 3,
cultleader,異教領袖,每天晚上，你轉變為其中一位活著的鄰居所在的陣營。每天白天一次，你可以提議其他玩家加入你的教團，如果所有善良玩家都如此做，則你的陣營獲勝。,如果異教領袖改變了陣營，喚醒他並告知他目前所在的陣營。,如果異教領袖改變了陣營，喚醒他並告知他目前所在的陣營。,,
damsel,落難少女,所有僕從都知道你在遊戲中。每場遊戲一次，僕從可以猜測你是落難少女，如果猜對，則你的陣營落敗。,喚醒所有僕從並展示「這個能力選擇你」提示卡 + 落難少女的角色代幣。,如果落難少女已被獵人選中，喚醒他並展示「你是」提示卡 + 一個不在遊戲中的鎮民角色代幣。,已猜測,
deusexfiasco,失敗的上帝,每場遊戲至少一次，說書人會犯一個錯誤，向玩家們承認並修正它。,,,哇喔,
deviant,怪咖,只要你今天很有趣，你就不會被放逐。,,,,
devilsadvocate,魔鬼代言人,每天晚上，選擇一位活著的玩家(不同於昨晚)，如果該玩家明天被處決，他不會死。,魔鬼代言人指向一位活著的玩家，以「處決保護」標記該玩家。,魔鬼代言人指向一位活著的玩家，以「處決保護」標記該玩家。,處決保護,
djinn,燈神,使用燈神的特殊規則。所有玩家都得知這個規則。,,,,
doomsayer,末日預言者,如果有四個或更多玩家活著，白天時，每位活著的玩家可以公開使一位與自己同陣營的玩家死亡(每位玩家限一次)。,,,,
dreamer,築夢師,每天晚上，選擇其他一位玩家(非旅行者)，你得知該玩家是一個善良角色或一個邪惡角色，其中一個正確。,築夢師指向一位玩家，將一個善良的角色代幣和一個邪惡的角色代幣展示給他，其中一個是正確的。,築夢師指向一位玩家，將一個善良的角色代幣和一個邪惡的角色代幣展示給他，其中一個是正確的。,,
drunk,酒鬼,你不知道自己是酒鬼，你認為自己是某一位鎮民，但你不是。,,,,醉酒
duchess,公爵夫人,每天白天，至多三位玩家可以拜訪說書人。當晚*，他們得知有多少拜訪者是邪惡的，但其中一位得到不正確的訊息。,,,不正確|訪客,
empath,共情者,每天晚上，你得知你活著的鄰居中有幾位是邪惡的(0/1/2)。,展示共情者的邪惡鄰居數量。,展示共情者的邪惡鄰居數量。,,
engineer,工程師,每場遊戲一次，晚上時，選擇哪些僕從或惡魔出現在遊戲中。,工程師可以指向角色表上的一個惡魔或數個僕從，如果他有選擇，根據選擇置換角色代幣，喚醒相關玩家並展示「你是」提示卡 + 他們的新角色代幣。,工程師可以指向角色表上的一個惡魔或數個僕從，如果他有選擇，根據選擇置換角色代幣，喚醒相關玩家並展示「你是」提示卡 + 他們的新角色代幣。,無能力,
eviltwin,鏡像雙子,你與一位對手認識彼此。如果你們當中的善良玩家被處決，邪惡陣營獲勝。只要你們兩個人都活著，善良陣營不能獲勝。,喚醒鏡像雙子和他的雙胞胎，確認他們看到對方是誰，指向鏡像雙子，將他的角色代幣展示給雙胞胎玩家；指向雙胞胎玩家，將他的角色代幣展示給鏡像雙子。,,雙胞胎,
exorcist,驅魔人,每天晚上*，選擇一位玩家(不同於昨晚)，如果你選中了惡魔，則他得知你是誰並且今晚不會因自身能力被喚醒。,,驅魔人選擇一位不同於昨晚的玩家，如果該玩家是惡魔，喚醒惡魔並展示「這個能力選擇你」提示卡 + 驅魔人的角色代幣並指向驅魔人，惡魔今晚不會因自身能力被喚醒。,已選擇,
fanggu,方古,每天晚上*，選擇一位玩家，該玩家死亡。被選擇的城外人變成邪惡的方古，並改為你死亡(每場遊戲只能觸發一次)。[+1 城外人],,方古指向一位玩家，該玩家死亡，或者如果該玩家是城外人且沒有「第一位城外人」標記，則改為方古死亡，被選擇的玩家變成邪惡的方古，喚醒新的方古並展示「你是」提示卡 + 方古角色代幣，再展示「你是」提示卡 + 倒讚表示邪惡。放置「第一位城外人」標記。,死亡|第一位城外人,
farmer,農夫,如果你在晚上死亡，一個活著的善良玩家變成農夫。,,如果農夫在晚上死亡，選擇另一個善良玩家，該玩家變成農夫，喚醒該玩家並展示「你是」提示卡 + 農夫的角色代幣。,,
fearmonger,恐懼之靈,每天晚上，選擇一位玩家。如果你提名並且處死了他，他的陣營落敗。所有玩家都知道你是否有選擇新玩家。,恐懼之靈指向一位玩家，以「恐懼」標記該玩家並宣布恐懼之靈選擇了一位新玩家。,恐懼之靈指向一位玩家，如果該玩家與前一晚的選擇不同，以「恐懼」標記該玩家並宣布恐懼之靈選擇了一位新玩家。,恐懼,
ferryman,擺渡人,在遊戲最後一天，所有死亡的玩家得到自己的投票代幣。,,,,
fibbin,騙人精,每場遊戲一次，一位善良玩家可能會得到不正確的資訊。,,,已發生,
fiddler,小提琴手,每場遊戲一次，惡魔私下選擇一位對手，所有玩家選擇這兩位中哪一位獲勝。,,,,
fisherman,漁夫,每場遊戲一次，白天時，拜訪說書人獲取一些幫助你獲勝的建議。,,,無能力,
flowergirl,賣花女孩,每天晚上*，你得知惡魔今天是否有投票。,,以點頭或搖頭來告知惡魔今天是否有投票，以「惡魔未投票」標記賣花女孩。,惡魔投票|惡魔未投票,
fool,弄臣,你第一次死亡時不會死。,,,無能力,
fortuneteller,占卜師,每天晚上，選擇兩位玩家，你得知他們其中是否有惡魔。場上有一位善良玩家的身分會被你視為惡魔。,占卜師選擇兩位玩家，以點頭或搖頭來告知他們之中是否有惡魔。,占卜師選擇兩位玩家，以點頭或搖頭來告知他們之中是否有惡魔。,視為惡魔,
gambler,賭徒,每天晚上*，選擇一位玩家並猜測他的角色，如果你猜錯則你會死亡。,,賭徒指向一位玩家 + 角色表上的一個角色，如果它們不符合，賭徒死亡。,死亡,
gangster,黑幫,每天白天一次，如果你活著的鄰居同意，你可以殺死另一位活著的鄰居。,,,,
gardener,園丁,一個或更多的角色由說書人分配給玩家。,,,,
general,將軍,每天晚上，你得知說書人認為較佔優勢的陣營，善良，邪惡，或著都不是。,以比讚表示善良正在獲勝；倒讚表示邪惡正在獲勝，或向旁邊比讚表示兩者皆不。,以比讚表示善良正在獲勝；倒讚表示邪惡正在獲勝，或向旁邊比讚表示兩者皆不。,,
gnome,侏儒,每個玩家都得知一位與你同陣營的玩家，當該玩家被提名時，你可以將提名者殺死。,,,摯友,
goblin,哥布林,如果你被提名時公開聲明自己是哥布林並且在同一天被處決，你的陣營獲勝。,,,已聲明,
godfather,教父,在你的第一晚，你得知哪些城外人在遊戲中。如果今天白天有城外人死亡，在當晚選擇一位玩家，該玩家死亡。[−1 或 +1 城外人],展示「這些角色在遊戲中」提示卡 + 每個在遊戲中的城外人角色代幣。,如果今天有城外人死亡，教父指向一位玩家，該玩家死亡。,城外人死亡|死亡,
godofug,訥神,會有一顶訥帽。當玩家戴着訥帽的時候，只能说單音節詞，但投票算作兩票。如果違反规則，訥帽會被轉移。,,,訥帽,
golem,魔像,你每場遊戲只能提名一次。當你如此做時，如果被提名者不是惡魔，則該玩家死亡。,,,不能提名,
goon,莽夫,每天晚上，第一個使用能力選擇你的玩家會醉到明天黃昏，你變成該玩家的陣營。,,,醉酒,
gossip,造謠者,每天白天，你可以發表一次公開聲明，當晚，如果該聲明正確，則會有一位玩家死亡。,,如果造謠者的公開聲明正確，選擇一位今晚沒有被保護的玩家，該玩家死亡。,死亡,
grandmother,祖母,在你的第一晚，你得知一位善良玩家以及他的角色，如果該玩家被惡魔殺死，則你也會死。,以「孫子」標記一位善良玩家，展示該玩家的角色代幣並指向該玩家。,如果祖母的孫子被惡魔殺死，祖母死亡。,孫子,
gunslinger,槍手,每天的第一次提名中，第一票投下後，你可以選擇其中一位投票的玩家，該玩家死亡。,,,,
harlot,流鶯,每天晚上*，選擇一位活著的玩家，如果該玩家同意，你得知他的角色，但是你們兩個有可能會死亡。,,流鶯指向一位玩家，喚醒該玩家並展示「這個能力選擇你」提示卡 + 流鶯的角色代幣，讓他以點頭或搖頭來表達意願，如果該玩家點頭，喚醒流鶯並展示該玩家的角色代幣，然後，你可以讓兩位玩家都死亡。,死亡,
harpy,鷹身女妖,每天晚上，選擇兩位玩家，明天第一位玩家需要執著地使其他玩家相信另一位是邪惡的，否則他們之中可能會有人死亡。,鷹身女妖輪流指向兩位玩家，喚醒第一位玩家並展示「這個能力選擇你」提示卡 + 鷹身女妖的角色代幣，然後指向第二位玩家。,鷹身女妖輪流指向兩位玩家，喚醒第一位玩家並展示「這個能力選擇你」提示卡 + 鷹身女妖的角色代幣，然後指向第二位玩家。,瘋狂|目標,
hatter,帽匠,如果你死亡，惡魔和僕從們都可以在當晚選擇自己的新角色(相同類型)。,,如果帽匠在今天死亡，喚醒惡魔和僕從們並展示「這個能力選擇你」提示卡 + 帽匠角色代幣，他們可以選擇一個自己類型的角色，如果有多位玩家的角色相同，則示意他們重新選擇，將他們的角色代幣替換成他們選擇的角色。,今晚開茶會,
hellslibrarian,地獄藏書員,在說書人要求安靜時說話的玩家可能會受到懲罰。,,,懲罰,
heretic,異端份子,交換勝負結果(儘管你死亡)。,,,,
hermit,隱士,你擁有所有城外人的能力。[-0 或 -1 城外人],,,1|2|3,
highpriestess,女祭司,每天晚上，你得知說書人認為你最應該與之交談的一位玩家。,指向一位玩家。,指向一位玩家。,,
hindu,印度教教徒,最先死亡的四名玩家會立刻以相同陣營的旅行者轉世重生。,,,,
huntsman,巡山人,每場遊戲一次，晚上時，選擇一位活著的玩家，如果你選中了少女，他變成一位不在遊戲中的鎮民角色。[+ 少女],巡山人可以選擇一位玩家，如果他選中了少女，喚醒該玩家並展示「你是」提示卡 + 一個不在遊戲中的鎮民角色代幣。,巡山人可以選擇一位玩家，如果他選中了少女，喚醒該玩家並展示「你是」提示卡 + 一個不在遊戲中的鎮民角色代幣。,無能力,
imp,小惡魔,每天晚上*，選擇一位玩家，該玩家死亡。如果你以此法殺死自己，一位僕從變成小惡魔。,,小惡魔指向一位玩家，該玩家死亡，如果他選擇自己，將一個活著的僕從角色代幣換成小惡魔的角色代幣，喚醒該玩家並展示「你是」提示卡 + 小惡魔的角色代幣。,死亡,
innkeeper,旅店老闆,每天晚上*，選擇兩位玩家，他們今晚不會死，但其中一位醉到明天黃昏。,,移除先前被保護或醉酒玩家的標記，旅店老闆指向兩位玩家，以「保護」標記他們，其中一位醉酒。,保護|醉酒,
investigator,調查員,在你的第一晚，你得知在某兩位玩家中有一位特定的僕從角色。,將一個在遊戲中的僕從角色代幣展示給調查員並指向兩位玩家，他們其中一位是該角色。,,僕從|非僕從,
judge,法官,每場遊戲一次，如果另一位玩家提名，你可以強制使處決成功或失敗。,,,無能力,
juggler,雜耍藝人,在你的第一天，公開猜測至多五次某位玩家的角色，當晚你得知你猜對了多少。,,如果今天是雜耍藝人的第一天，展示「正確」標記的總數(0/1/2/依此類推)，移除所有標記。,正確,
kazali,卡札力,每天晚上*，選擇一位玩家，該玩家死亡。[你選擇哪些玩家是哪些僕從，且出現任意數量城外人],卡札力指向一位玩家及一個僕從角色，將他的角色代幣替換成該僕從的角色代幣，喚醒他並展示「你是」提示卡 + 他的角色代幣，並倒讚表示邪惡，重複等同正常僕從數量的次數。,卡札力指向一位玩家，該玩家死亡。,死亡,
king,國王,每天晚上，如果死亡的玩家數等於或超過活著的玩家，你得知一個活著的角色。惡魔知道你是誰。,喚醒惡魔並展示「這個能力選擇你」提示卡 + 國王的角色代幣並指向國王。,如果死亡的玩家數超過活著的玩家，展示一位存活玩家的角色代幣。,,
klutz,呆瓜,當你得知你死亡時，公開選擇一位活著的玩家，如果該玩家是邪惡的，你的陣營落敗。,,,,
knaves,詭詐傑克,場上有兩位說書人：一人说真話，一人说假話。每局遊戲限一次，他們可能會在黃昏互換。,,,真|假,
knight,騎士,在你的第一晚，你得知兩位非惡魔玩家。,指向兩位非惡魔的玩家。,,已得知|已得知,
legion,軍團,每天晚上*，可能會有一位玩家死亡。處刑時如果只有邪惡玩家投票則投票失敗。你也被視為僕從。[大多數玩家都是軍團],,選擇一位玩家，該玩家死亡。,即將處決|死亡,
leviathan,利維坦,如果超過一位善良玩家被處決，則你獲勝。所有玩家都知道你在遊戲中。第五天過後，邪惡陣營獲勝。,以「第一天」標記利維坦。宣布「利維坦在遊戲中，今天是第一天。」,增加利維坦標記的天數。,第一天|第二天|第三天|第四天|第五天|善良被處決,
librarian,圖書管理員,在你的第一晚，你得知在某兩位玩家中有一位特定的城外人角色(或者沒有城外人角色)。,將一個在遊戲中的城外人角色代幣展示給圖書管理員並指向兩位玩家，他們其中一位是該角色(或者沒有城外人角色)。,,城外人|非城外人,
lilmonsta,小怪寶,每天晚上，僕從們選擇一位玩家看顧小怪寶並且「是惡魔」。每天晚上*，可能會有一位玩家死亡。[+1 僕從],喚醒所有僕從並讓他們投票選出看顧小怪寶的人選。,喚醒所有僕從並讓他們投票選出看顧小怪寶的人選，你可以選擇一位玩家，該玩家死亡。,,是惡魔|死亡
lleech,痢蛭,每天晚上*，選擇一位玩家，該玩家死亡。在你的第一晚，你選擇一位活著的玩家，該玩家中毒，你(只)會在該玩家死亡時死亡。,痢蛭指向一位玩家，該玩家中毒。,痢蛭指向一位玩家，該玩家死亡。,中毒|死亡,
lordoftyphon,堤豐之首,每天晚上*，選擇一位玩家，該玩家死亡。[邪惡玩家坐在一起，你坐在他們之間。+1僕從。+？～-？城外人],喚醒惡魔身旁的僕從們，分別展示「你是」提示卡 + 他們的角色代幣，並倒讚表示邪惡。,堤豐之首指向一位玩家，該玩家死亡。,死亡,
lunatic,瘋子,你認為自己是惡魔，但你不是，惡魔知道你是誰以及你每天晚上選了誰。,如果有7位或更多玩家，將若干個僕從展示給瘋子，其數量等同於遊戲中僕從們的數量(這些玩家不一定要是真的僕從)，將三個任意的善良角色代幣展示給瘋子，如果瘋子的惡魔角色會在第一晚行動，讓他進行惡魔的動作，以「攻擊」標記他的目標。喚醒惡魔並告知他真正的角色以及瘋子是誰，如果瘋子有攻擊玩家，指向每個被標記的目標，移除所有「攻擊」標記。,讓瘋子進行惡魔的動作，以「攻擊」標記他的目標，如果瘋子有攻擊玩家，喚醒惡魔並指向每個被標記的目標，移除所有「攻擊」標記。,攻擊1|攻擊2|攻擊3,
lycanthrope,半獸人,每天晚上*，選擇一位活著的玩家，如果該玩家是善良，該玩家死亡且惡魔今晚不會造成死亡，場上一位善良會被視為邪惡的。,,半獸人選擇一位活著的玩家，如果該玩家是善良則他死亡且惡魔今晚不會造成死亡。,死亡|假爪,
magician,魔術師,惡魔認為你是僕從。僕從們認為你也是惡魔。,,,,
marionette,提線木偶,你認為自己是某一位善良角色，但你不是。惡魔知道你是誰。[你坐在惡魔旁邊],選擇一位坐在惡魔旁邊的善良玩家並以「是提線木偶」標記他，喚醒惡魔並告知提線木偶是誰。,,,是提線木偶
mastermind,主謀,如果惡魔被處決(結束遊戲)，則遊戲繼續進行一天，如果有玩家被處決，該玩家的陣營落敗。,,,,
mathematician,數學家,每天晚上，你得知今天(從清晨開始)有多少玩家的能力因為其他角色的能力而異常作用。,展示自己的能力因為其他角色的能力而異常作用的玩家數量(0/1/2/依此類推)。,展示自己的能力因為其他角色的能力而異常作用的玩家數量(0/1/2/依此類推)。,異常,
matron,女舍監,每天白天，你可以選擇至多三對玩家互換座位，玩家們不能離開座位講悄悄話。,,,,
mayor,鎮長,如果只有三名玩家存活且今天沒有人被處死，則你的陣營獲勝。如果你在晚上死亡，則可能改為另一位玩家死亡。,,,,
mezepheles,靈言師,在你的第一晚，你得知一個暗號，第一位說出這個暗號的善良玩家在當晚轉為邪惡陣營。,展示祕密的暗號。,喚醒第一位說出靈言師的暗號的善良玩家並展示「你是」提示卡 + 倒讚表示邪惡。,無能力|轉為邪惡,
minstrel,吟遊詩人,每當一個僕從被處死，除了你以外且非旅行者的玩家都醉酒到明天黃昏。,,,所有人醉酒,
monk,僧侶,每天晚上*，選擇一位其他的玩家，該玩家今晚免疫惡魔的負面效果。,,先前被保護的玩家不再被保護。僧侶選擇一位其他的玩家，以「保護」標記該玩家。,保護,
moonchild,月之子,當你得知你死亡時，公開選擇一位活著的玩家，如果該玩家是善良，他今晚會死亡。,,如果月之子今天對一位善良玩家使用能力，則該玩家死亡。,死亡,
mutant,畸形秀演員,如果你執著地使其他玩家相信自己是城外人，你可能會被處決。,,,,
nightwatchman,守夜人,每場遊戲一次，晚上時，選擇一位玩家，他們得知你是誰。,守夜人玩家可以指向一位玩家。喚醒該玩家，並展示 「這個角色選擇你」卡片 + 守夜人角色代幣，然後指向守夜人。,守夜人玩家可以指向一位玩家。喚醒該玩家，並展示 「這個角色選擇你」卡片 + 守夜人角色代幣，然後指向守夜人。,無能力,
noble,貴族,在你的第一晚，你得知三位玩家，其中(只有)一位是邪惡的。,以任意順序指向三位玩家，其中一位是邪惡的。,,已得知,
nodashii,諾達鯴,每天晚上*，選擇一位玩家，該玩家死亡。在你兩側離你最近的鎮民中毒。,,諾達鯴指向一位玩家，該玩家死亡。,中毒|死亡,
ogre,食人魔,在你的第一晚，選擇另一位玩家，你變成該玩家的陣營(你不會得知它)(即使你醉酒或中毒)。,食人魔指向另一位玩家並成為該玩家的陣營。,,朋友,
ojo,奧赫,每天晚上*，選擇一個角色，該角色的玩家死亡，如果該角色不在遊戲中，則由說書人決定哪位玩家死亡。,,奧赫選擇角色表上的一個角色，如果該角色在遊戲中，該角色的玩家死亡，否則由說書人決定死亡。,死亡,
oracle,神諭者,每天晚上*，你得知有多少死去的玩家是邪惡的。,,展示死亡的邪惡玩家數量(0/1/2/依此類推)。,,
organgrinder,街頭風琴手,所有玩家在投票時閉眼且票數不公開。每天晚上，選擇你是否醉酒。,,,將被處決,
pacifist,和平主義者,當有善良玩家被處決時，他可能不會死亡。,,,,
philosopher,哲學家,每場遊戲一次，晚上時，選擇一個善良角色，你獲得該角色能力，如果該角色在遊戲中，他會醉酒。,哲學家可以選擇角色表上的一個善良角色，如果他有選擇且該角色不在遊戲中，將哲學家的角色代幣置換成該角色；如果該角色在遊戲中，該角色的玩家醉酒，哲學家得到該角色能力，以「是哲學家」標記哲學家。,哲學家可以選擇角色表上的一個善良角色，如果他有選擇且該角色不在遊戲中，將哲學家的角色代幣置換成該角色；如果該角色在遊戲中，該角色的玩家醉酒，哲學家得到該角色能力，以「是哲學家」標記哲學家。,,是哲學家|醉酒
pithag,麻臉巫婆,每天晚上*，選擇一位玩家以及一個角色，如果該角色不在遊戲中，該玩家變成該角色，如果產生一個新惡魔，則今晚惡魔造成的死亡由說書人決定。,,麻臉巫婆指向一位玩家 + 角色表上的一位角色，如果選擇的角色不在遊戲中，喚醒該玩家並展示「你是」提示卡 + 麻臉巫婆選擇的角色代幣。,,
pixie,小精靈,在你的第一晚，你得知一位在遊戲中的鎮民角色。如果你執著地使其他玩家相信自己是該角色，則在該角色的玩家死亡後你獲得他的能力。,展示一個在遊戲中的一個鎮民角色代幣。,,具有能力|瘋狂,
plaguedoctor,瘟疫醫生,如果你死亡，則說書人得到一個僕從的能力。,,,(說書人能力),
po,珀,每天晚上*，你可以選擇一位玩家，該玩家死亡。如果你上次選擇不行動，則你今晚選擇三位玩家。,,珀可以選擇一位玩家，或是如果阿寶在上一次沒有選擇玩家，則選擇三位玩家。被選擇的玩家死亡。,攻擊x3|死亡,
poisoner,投毒者,每天晚上，選擇一位玩家，該玩家今晚與明天早上中毒。,投毒者指向一位玩家，該玩家中毒。,先前中毒的玩家不再中毒，投毒者指向一位玩家，該玩家中毒。,中毒,
politician,政客,如果你需要對你陣營的落敗負最大的責任，則你改變陣營並獲勝(儘管你死亡)。,,,,
pope,教皇,會有重複的善良角色在場。他們也可能是惡魔的偽裝。,,,,
poppygrower,罌粟種植者,僕從們與惡魔不會彼此相認。如果你死亡，則他們在當晚相認。,不要告知惡魔和僕從彼此是誰。,如果罌粟種植者死亡，告知惡魔和僕從彼此是誰。,邪惡相認,
